title,openreview_link,authors
Learning to Taste: A Multimodal Wine Dataset,https://openreview.net/forum?id=VeJgZYhT7H,"Thoranna Bender, Simon Sørensen, Alireza Kashani, Kristjan Hjorleifsson, Grethe Hyldig, Søren Hauberg, Serge Belongie, Frederik Warburg"
Adversarial Learning for Feature Shift Detection and Correction,https://openreview.net/forum?id=lBhRTO2uWf,"Míriam Barrabés, Daniel Mas Montserrat, Margarita Geleta, Xavier Giró-i-Nieto, Alexander Ioannidis"
Can Language Models Solve Graph Problems in Natural Language?,https://openreview.net/forum?id=UDqHhbqYJV,"Heng Wang, Shangbin Feng, Tianxing He, Zhaoxuan Tan, Xiaochuang Han, Yulia Tsvetkov"
Decoding the Enigma: Benchmarking Humans and AIs on the Many Facets of Working Memory,https://openreview.net/forum?id=10R4Fg1aA0,"Ankur Sikarwar, Mengmi Zhang"
[Re] Exploring the Role of Grammar and Word Choice in Bias Toward African American English (AAE) in Hate Speech Classification,https://openreview.net/forum?id=MjZVx7a0KX-,"Priyanka Bose, Chandra shekhar Pandey, Fraida Fund"
Simultaneous embedding of multiple attractor manifolds in a recurrent neural network using constrained gradient optimization,https://openreview.net/forum?id=ekMLUoC2sq,"Haggai Agmon, Yoram Burak"
Calibration by Distribution Matching: Trainable Kernel Calibration Metrics,https://openreview.net/forum?id=IhxD94i5ra,"Charlie Marx, Sofian Zalouk, Stefano Ermon"
H2O: Heavy-Hitter Oracle for Efficient Generative Inference of Large Language Models,https://openreview.net/forum?id=RkRrPp7GKO,"Zhenyu Zhang, Ying Sheng, Tianyi Zhou, Tianlong Chen, Lianmin Zheng, Ruisi Cai, Zhao Song, Yuandong Tian, Christopher Ré, Clark Barrett, Zhangyang ""Atlas"" Wang, Beidi Chen"
"Neural Injective Functions for Multisets, Measures and Graphs via a Finite Witness Theorem",https://openreview.net/forum?id=TQlpqmCeMe,"Tal Amir, Steven Gortler, Ilai Avni, Ravina Ravina, Nadav Dym"
[Re] Variational Neural Cellular Automata,https://openreview.net/forum?id=d7-ns6SZqp,"Albert Sund Aillet, Simon Sondén"
"Three-Way Trade-Off in Multi-Objective Learning: Optimization, Generalization and Conflict-Avoidance",https://openreview.net/forum?id=yPkbdJxQ0o,"Lisha Chen, Heshan Fernando, Yiming Ying, Tianyi Chen"
Hierarchical Gaussian Mixture based Task Generative Model for Robust Meta-Learning,https://openreview.net/forum?id=mVTyeQIiE4,"Yizhou Zhang, Jingchao Ni, Wei Cheng, Zhengzhang Chen, Liang Tong, Haifeng Chen, Yan Liu"
Variational Imbalanced Regression: Fair Uncertainty Quantification via Probabilistic Smoothing,https://openreview.net/forum?id=cMUBkkTrMo,"Ziyan Wang, Hao Wang"
Should I Stop or Should I Go: Early Stopping with Heterogeneous Populations,https://openreview.net/forum?id=1CpVHL10fh,"Hammaad Adam, Fan Yin, Huibin Hu, Neil Tenenholtz, Lorin Crawford, Lester Mackey, Allison Koenecke"
Provable benefits of score matching,https://openreview.net/forum?id=waXoG35kbb,"Chirag Pabbaraju, Dhruv Rohatgi, Anish Prasad Sevekari, Holden Lee, Ankur Moitra, Andrej Risteski"
Connecting Pre-trained Language Model and Downstream Task via Properties of Representation,https://openreview.net/forum?id=YLOJ4aKAka,"Chenwei Wu, Holden Lee, Rong Ge"
OpenProteinSet: Training data for structural biology at scale,https://openreview.net/forum?id=gO0kS0eE0F,"Gustaf Ahdritz, Nazim Bouatta, Sachin Kadyan, Lukas Jarosch, Dan Berenberg, Ian Fisk, Andrew Watkins, Stephen Ra, Richard Bonneau, Mohammed AlQuraishi"
3D molecule generation by denoising voxel grids,https://openreview.net/forum?id=Zyzluw0hC4,"Pedro O. Pinheiro, Joshua Rackers, Joseph Kleinhenz, Michael Maser, Omar Mahmood, Andrew Watkins, Stephen Ra, Vishnu Sresht, Saeed Saremi"
VTaC: A  Benchmark Dataset of Ventricular Tachycardia Alarms from ICU Monitors,https://openreview.net/forum?id=qf4CWnrvZa,"Li-wei Lehman, Benjamin Moody, Harsh Deep, Feng Wu, Hasan Saeed, Lucas McCullum, Diane Perry, Tristan Struja, Qiao Li, Gari Clifford, Roger Mark"
A Unified Fast Gradient Clipping Framework for DP-SGD,https://openreview.net/forum?id=i2H2sEiq2T,"Weiwei Kong, Andres Munoz Medina"
Objaverse-XL: A Universe of 10M+ 3D Objects,https://openreview.net/forum?id=Sq3CLKJeiz,"Matt Deitke, Ruoshi Liu, Matthew Wallingford, Huong Ngo, Oscar Michel, Aditya Kusupati, Alan Fan, Christian Laforte, Vikram Voleti, Samir Yitzhak Gadre, Eli VanderBilt, Aniruddha Kembhavi, Carl Vondrick, Georgia Gkioxari, Kiana Ehsani, Ludwig Schmidt, Ali Farhadi"
OBJECT 3DIT: Language-guided 3D-aware Image Editing,https://openreview.net/forum?id=yjWVd8Fhqt,"Oscar Michel, Anand Bhattad, Eli VanderBilt, Ranjay Krishna, Aniruddha Kembhavi, Tanmay Gupta"
Towards Automated Circuit Discovery for Mechanistic Interpretability,https://openreview.net/forum?id=89ia77nZ8u,"Arthur Conmy, Augustine Mavor-Parker, Aengus Lynch, Stefan Heimersheim, Adrià Garriga-Alonso"
The Distortion of Binomial Voting Defies Expectation,https://openreview.net/forum?id=Sv5bo2StIx,"Yannai A. Gonczarowski, Gregory Kehne, Ariel Procaccia, Ben Schiffer, Shirley Zhang"
